2021,1.04
2020,1.06
2019,1.08
2018,1.12
2017,1.16
2016,1.18
2015,1.19
2014,1.22
2013,1.26
2012,1.3
2011,1.37
2010,1.43
2009,1.42
2008,1.48
2007,1.54
2006,1.59
2005,1.64
2004,1.69
2003,1.73
2002,1.76
2001,1.8
2000,1.85
1999,1.88
1998,1.94
1997,2
1996,2.05
1995,2.12
